hotel_code,hotel_name,annee,mois,meteo_temperature_c_mean
H0815,Ibis Styles Roissy CDG,2025,1,26.0
H0815,Ibis Styles Roissy CDG,2025,2,27.0
H0815,Ibis Styles Roissy CDG,2025,3,28.0
H0815,Ibis Styles Roissy CDG,2025,4,29.0
H0815,Ibis Styles Roissy CDG,2025,5,30.0
H0815,Ibis Styles Roissy CDG,2025,6,31.0
H0815,Ibis Styles Roissy CDG,2025,7,32.0
H0815,Ibis Styles Roissy CDG,2025,8,33.0
H0815,Ibis Styles Roissy CDG,2025,9,34.0
H0815,Ibis Styles Roissy CDG,2025,10,35.0
H0815,Ibis Styles Roissy CDG,2025,11,36.0
H0815,Ibis Styles Roissy CDG,2025,12,37.0
H0815,Ibis Styles Roissy CDG,2026,1,51.0
H0815,Ibis Styles Roissy CDG,2026,2,52.0
H0815,Ibis Styles Roissy CDG,2026,3,53.0
H0815,Ibis Styles Roissy CDG,2026,4,54.0
H0815,Ibis Styles Roissy CDG,2026,5,55.0
H0815,Ibis Styles Roissy CDG,2026,6,56.0
H0815,Ibis Styles Roissy CDG,2026,7,32.0
H0815,Ibis Styles Roissy CDG,2026,8,33.0
H0815,Ibis Styles Roissy CDG,2026,9,34.0
H0815,Ibis Styles Roissy CDG,2026,10,35.0
H0815,Ibis Styles Roissy CDG,2026,11,36.0
H0815,Ibis Styles Roissy CDG,2026,12,37.0
H2075,Ibis budget Nice Californie,2023,1,24.0
H2075,Ibis budget Nice Californie,2023,2,25.0
H2075,Ibis budget Nice Californie,2023,3,26.0
H2075,Ibis budget Nice Californie,2023,4,27.0
H2075,Ibis budget Nice Californie,2023,5,28.0
H2075,Ibis budget Nice Californie,2023,6,29.0
H2075,Ibis budget Nice Californie,2023,7,30.0
H2075,Ibis budget Nice Californie,2023,8,31.0
H2075,Ibis budget Nice Californie,2023,9,32.0
H2075,Ibis budget Nice Californie,2023,10,33.0
H2075,Ibis budget Nice Californie,2023,11,34.0
H2075,Ibis budget Nice Californie,2023,12,35.0
H2075,Ibis budget Nice Californie,2024,1,25.0
H2075,Ibis budget Nice Californie,2024,2,26.0
H2075,Ibis budget Nice Californie,2024,3,27.0
H2075,Ibis budget Nice Californie,2024,4,28.0
H2075,Ibis budget Nice Californie,2024,5,29.0
H2075,Ibis budget Nice Californie,2024,6,30.0
H2075,Ibis budget Nice Californie,2024,7,31.0
H2075,Ibis budget Nice Californie,2024,8,32.0
H2075,Ibis budget Nice Californie,2024,9,33.0
H2075,Ibis budget Nice Californie,2024,10,34.0
H2075,Ibis budget Nice Californie,2024,11,35.0
H2075,Ibis budget Nice Californie,2024,12,36.0
H2075,Ibis budget Nice Californie,2025,1,26.0
H2075,Ibis budget Nice Californie,2025,2,27.0
H2075,Ibis budget Nice Californie,2025,3,28.0
H2075,Ibis budget Nice Californie,2025,4,29.0
H2075,Ibis budget Nice Californie,2025,5,30.0
H2075,Ibis budget Nice Californie,2025,6,31.0
H2075,Ibis budget Nice Californie,2025,7,32.0
H2075,Ibis budget Nice Californie,2025,8,33.0
H2075,Ibis budget Nice Californie,2025,9,34.0
H2075,Ibis budget Nice Californie,2025,10,35.0
H2075,Ibis budget Nice Californie,2025,11,36.0
H2075,Ibis budget Nice Californie,2025,12,37.0
H2075,Ibis budget Nice Californie,2026,1,51.0
H2075,Ibis budget Nice Californie,2026,2,52.0
H2075,Ibis budget Nice Californie,2026,3,53.0
H2075,Ibis budget Nice Californie,2026,4,54.0
H2075,Ibis budget Nice Californie,2026,5,55.0
H2075,Ibis budget Nice Californie,2026,6,56.0
H2075,Ibis budget Nice Californie,2026,7,32.0
H2075,Ibis budget Nice Californie,2026,8,33.0
H2075,Ibis budget Nice Californie,2026,9,34.0
H2075,Ibis budget Nice Californie,2026,10,35.0
H2075,Ibis budget Nice Californie,2026,11,36.0
H2075,Ibis budget Nice Californie,2026,12,37.0
H3546,Novotel Paris Centre Tour Eiffel,2023,1,24.0
H3546,Novotel Paris Centre Tour Eiffel,2023,2,25.0
H3546,Novotel Paris Centre Tour Eiffel,2023,3,26.0
H3546,Novotel Paris Centre Tour Eiffel,2023,4,27.0
H3546,Novotel Paris Centre Tour Eiffel,2023,5,28.0
H3546,Novotel Paris Centre Tour Eiffel,2023,6,29.0
H3546,Novotel Paris Centre Tour Eiffel,2023,7,30.0
H3546,Novotel Paris Centre Tour Eiffel,2023,8,31.0
H3546,Novotel Paris Centre Tour Eiffel,2023,9,32.0
H3546,Novotel Paris Centre Tour Eiffel,2023,10,33.0
H3546,Novotel Paris Centre Tour Eiffel,2023,11,34.0
H3546,Novotel Paris Centre Tour Eiffel,2023,12,35.0
H3546,Novotel Paris Centre Tour Eiffel,2024,1,25.0
H3546,Novotel Paris Centre Tour Eiffel,2024,2,26.0
H3546,Novotel Paris Centre Tour Eiffel,2024,3,27.0
H3546,Novotel Paris Centre Tour Eiffel,2024,4,28.0
H3546,Novotel Paris Centre Tour Eiffel,2024,5,29.0
H3546,Novotel Paris Centre Tour Eiffel,2024,6,30.0
H3546,Novotel Paris Centre Tour Eiffel,2024,7,31.0
H3546,Novotel Paris Centre Tour Eiffel,2024,8,32.0
H3546,Novotel Paris Centre Tour Eiffel,2024,9,33.0
H3546,Novotel Paris Centre Tour Eiffel,2024,10,34.0
H3546,Novotel Paris Centre Tour Eiffel,2024,11,35.0
H3546,Novotel Paris Centre Tour Eiffel,2024,12,36.0
H3546,Novotel Paris Centre Tour Eiffel,2025,1,26.0
H3546,Novotel Paris Centre Tour Eiffel,2025,2,27.0
H3546,Novotel Paris Centre Tour Eiffel,2025,3,28.0
H3546,Novotel Paris Centre Tour Eiffel,2025,4,29.0
H3546,Novotel Paris Centre Tour Eiffel,2025,5,30.0
H3546,Novotel Paris Centre Tour Eiffel,2025,6,31.0
H3546,Novotel Paris Centre Tour Eiffel,2025,7,32.0
H3546,Novotel Paris Centre Tour Eiffel,2025,8,33.0
H3546,Novotel Paris Centre Tour Eiffel,2025,9,34.0
H3546,Novotel Paris Centre Tour Eiffel,2025,10,35.0
H3546,Novotel Paris Centre Tour Eiffel,2025,11,36.0
H3546,Novotel Paris Centre Tour Eiffel,2025,12,37.0
H3546,Novotel Paris Centre Tour Eiffel,2026,1,51.0
H3546,Novotel Paris Centre Tour Eiffel,2026,2,52.0
H3546,Novotel Paris Centre Tour Eiffel,2026,3,53.0
H3546,Novotel Paris Centre Tour Eiffel,2026,4,54.0
H3546,Novotel Paris Centre Tour Eiffel,2026,5,55.0
H3546,Novotel Paris Centre Tour Eiffel,2026,6,56.0
H3546,Novotel Paris Centre Tour Eiffel,2026,7,32.0
H3546,Novotel Paris Centre Tour Eiffel,2026,8,33.0
H3546,Novotel Paris Centre Tour Eiffel,2026,9,34.0
H3546,Novotel Paris Centre Tour Eiffel,2026,10,35.0
H3546,Novotel Paris Centre Tour Eiffel,2026,11,36.0
H3546,Novotel Paris Centre Tour Eiffel,2026,12,37.0
H6188,Mercure Paris Boulogne,2023,1,24.0
H6188,Mercure Paris Boulogne,2023,2,25.0
H6188,Mercure Paris Boulogne,2023,3,26.0
H6188,Mercure Paris Boulogne,2023,4,27.0
H6188,Mercure Paris Boulogne,2023,5,28.0
H6188,Mercure Paris Boulogne,2023,6,29.0
H6188,Mercure Paris Boulogne,2023,7,30.0
H6188,Mercure Paris Boulogne,2023,8,31.0
H6188,Mercure Paris Boulogne,2023,9,32.0
H6188,Mercure Paris Boulogne,2023,10,33.0
H6188,Mercure Paris Boulogne,2023,11,34.0
H6188,Mercure Paris Boulogne,2023,12,35.0
H6188,Mercure Paris Boulogne,2024,1,25.0
H6188,Mercure Paris Boulogne,2024,2,26.0
H6188,Mercure Paris Boulogne,2024,3,27.0
H6188,Mercure Paris Boulogne,2024,4,28.0
H6188,Mercure Paris Boulogne,2024,5,29.0
H6188,Mercure Paris Boulogne,2024,6,30.0
H6188,Mercure Paris Boulogne,2024,7,31.0
H6188,Mercure Paris Boulogne,2024,8,32.0
H6188,Mercure Paris Boulogne,2024,9,33.0
H6188,Mercure Paris Boulogne,2024,10,34.0
H6188,Mercure Paris Boulogne,2024,11,35.0
H6188,Mercure Paris Boulogne,2024,12,36.0
H6188,Mercure Paris Boulogne,2025,1,26.0
H6188,Mercure Paris Boulogne,2025,2,27.0
H6188,Mercure Paris Boulogne,2025,3,28.0
H6188,Mercure Paris Boulogne,2025,4,29.0
H6188,Mercure Paris Boulogne,2025,5,30.0
H6188,Mercure Paris Boulogne,2025,6,31.0
H6188,Mercure Paris Boulogne,2025,7,32.0
H6188,Mercure Paris Boulogne,2025,8,33.0
H6188,Mercure Paris Boulogne,2025,9,34.0
H6188,Mercure Paris Boulogne,2025,10,35.0
H6188,Mercure Paris Boulogne,2025,11,36.0
H6188,Mercure Paris Boulogne,2025,12,37.0
H6188,Mercure Paris Boulogne,2026,1,51.0
H6188,Mercure Paris Boulogne,2026,2,52.0
H6188,Mercure Paris Boulogne,2026,3,53.0
H6188,Mercure Paris Boulogne,2026,4,54.0
H6188,Mercure Paris Boulogne,2026,5,55.0
H6188,Mercure Paris Boulogne,2026,6,56.0
H6188,Mercure Paris Boulogne,2026,7,32.0
H6188,Mercure Paris Boulogne,2026,8,33.0
H6188,Mercure Paris Boulogne,2026,9,34.0
H6188,Mercure Paris Boulogne,2026,10,35.0
H6188,Mercure Paris Boulogne,2026,11,36.0
H6188,Mercure Paris Boulogne,2026,12,37.0
HB5I0,Novotel Megève Mont-Blanc,2023,1,24.0
HB5I0,Novotel Megève Mont-Blanc,2023,2,25.0
HB5I0,Novotel Megève Mont-Blanc,2023,3,26.0
HB5I0,Novotel Megève Mont-Blanc,2023,4,27.0
HB5I0,Novotel Megève Mont-Blanc,2023,5,28.0
HB5I0,Novotel Megève Mont-Blanc,2023,6,29.0
HB5I0,Novotel Megève Mont-Blanc,2023,7,30.0
HB5I0,Novotel Megève Mont-Blanc,2023,8,31.0
HB5I0,Novotel Megève Mont-Blanc,2023,9,32.0
HB5I0,Novotel Megève Mont-Blanc,2023,10,33.0
HB5I0,Novotel Megève Mont-Blanc,2023,11,34.0
HB5I0,Novotel Megève Mont-Blanc,2023,12,35.0
HB5I0,Novotel Megève Mont-Blanc,2024,1,25.0
HB5I0,Novotel Megève Mont-Blanc,2024,2,26.0
HB5I0,Novotel Megève Mont-Blanc,2024,3,27.0
HB5I0,Novotel Megève Mont-Blanc,2024,4,28.0
HB5I0,Novotel Megève Mont-Blanc,2024,5,29.0
HB5I0,Novotel Megève Mont-Blanc,2024,6,30.0
HB5I0,Novotel Megève Mont-Blanc,2024,7,31.0
HB5I0,Novotel Megève Mont-Blanc,2024,8,32.0
HB5I0,Novotel Megève Mont-Blanc,2024,9,33.0
HB5I0,Novotel Megève Mont-Blanc,2024,10,34.0
HB5I0,Novotel Megève Mont-Blanc,2024,11,35.0
HB5I0,Novotel Megève Mont-Blanc,2024,12,36.0
HB5I0,Novotel Megève Mont-Blanc,2025,1,26.0
HB5I0,Novotel Megève Mont-Blanc,2025,2,27.0
HB5I0,Novotel Megève Mont-Blanc,2025,3,28.0
HB5I0,Novotel Megève Mont-Blanc,2025,4,29.0
HB5I0,Novotel Megève Mont-Blanc,2025,5,30.0
HB5I0,Novotel Megève Mont-Blanc,2025,6,31.0
HB5I0,Novotel Megève Mont-Blanc,2025,7,32.0
HB5I0,Novotel Megève Mont-Blanc,2025,8,33.0
HB5I0,Novotel Megève Mont-Blanc,2025,9,34.0
HB5I0,Novotel Megève Mont-Blanc,2025,10,35.0
HB5I0,Novotel Megève Mont-Blanc,2025,11,36.0
HB5I0,Novotel Megève Mont-Blanc,2025,12,37.0
HB5I0,Novotel Megève Mont-Blanc,2026,1,51.0
HB5I0,Novotel Megève Mont-Blanc,2026,2,52.0
HB5I0,Novotel Megève Mont-Blanc,2026,3,53.0
HB5I0,Novotel Megève Mont-Blanc,2026,4,54.0
HB5I0,Novotel Megève Mont-Blanc,2026,5,55.0
HB5I0,Novotel Megève Mont-Blanc,2026,6,56.0
HB5I0,Novotel Megève Mont-Blanc,2026,7,32.0
HB5I0,Novotel Megève Mont-Blanc,2026,8,33.0
HB5I0,Novotel Megève Mont-Blanc,2026,9,34.0
HB5I0,Novotel Megève Mont-Blanc,2026,10,35.0
HB5I0,Novotel Megève Mont-Blanc,2026,11,36.0
HB5I0,Novotel Megève Mont-Blanc,2026,12,37.0
HB6A3,Ibis budget Strasbourg Centre République,2023,1,24.0
HB6A3,Ibis budget Strasbourg Centre République,2023,2,25.0
HB6A3,Ibis budget Strasbourg Centre République,2023,3,26.0
HB6A3,Ibis budget Strasbourg Centre République,2023,4,27.0
HB6A3,Ibis budget Strasbourg Centre République,2023,5,28.0
HB6A3,Ibis budget Strasbourg Centre République,2023,6,29.0
HB6A3,Ibis budget Strasbourg Centre République,2023,7,30.0
HB6A3,Ibis budget Strasbourg Centre République,2023,8,31.0
HB6A3,Ibis budget Strasbourg Centre République,2023,9,32.0
HB6A3,Ibis budget Strasbourg Centre République,2023,10,33.0
HB6A3,Ibis budget Strasbourg Centre République,2023,11,34.0
HB6A3,Ibis budget Strasbourg Centre République,2023,12,35.0
HB6A3,Ibis budget Strasbourg Centre République,2024,1,25.0
HB6A3,Ibis budget Strasbourg Centre République,2024,2,26.0
HB6A3,Ibis budget Strasbourg Centre République,2024,3,27.0
HB6A3,Ibis budget Strasbourg Centre République,2024,4,28.0
HB6A3,Ibis budget Strasbourg Centre République,2024,5,29.0
HB6A3,Ibis budget Strasbourg Centre République,2024,6,30.0
HB6A3,Ibis budget Strasbourg Centre République,2024,7,31.0
HB6A3,Ibis budget Strasbourg Centre République,2024,8,32.0
HB6A3,Ibis budget Strasbourg Centre République,2024,9,33.0
HB6A3,Ibis budget Strasbourg Centre République,2024,10,34.0
HB6A3,Ibis budget Strasbourg Centre République,2024,11,35.0
HB6A3,Ibis budget Strasbourg Centre République,2024,12,36.0
HB6A3,Ibis budget Strasbourg Centre République,2025,1,26.0
HB6A3,Ibis budget Strasbourg Centre République,2025,2,27.0
HB6A3,Ibis budget Strasbourg Centre République,2025,3,28.0
HB6A3,Ibis budget Strasbourg Centre République,2025,4,29.0
HB6A3,Ibis budget Strasbourg Centre République,2025,5,30.0
HB6A3,Ibis budget Strasbourg Centre République,2025,6,31.0
HB6A3,Ibis budget Strasbourg Centre République,2025,7,32.0
HB6A3,Ibis budget Strasbourg Centre République,2025,8,33.0
HB6A3,Ibis budget Strasbourg Centre République,2025,9,34.0
HB6A3,Ibis budget Strasbourg Centre République,2025,10,35.0
HB6A3,Ibis budget Strasbourg Centre République,2025,11,36.0
HB6A3,Ibis budget Strasbourg Centre République,2025,12,37.0
HB6A3,Ibis budget Strasbourg Centre République,2026,1,51.0
HB6A3,Ibis budget Strasbourg Centre République,2026,2,52.0
HB6A3,Ibis budget Strasbourg Centre République,2026,3,53.0
HB6A3,Ibis budget Strasbourg Centre République,2026,4,54.0
HB6A3,Ibis budget Strasbourg Centre République,2026,5,55.0
HB6A3,Ibis budget Strasbourg Centre République,2026,6,56.0
HB6A3,Ibis budget Strasbourg Centre République,2026,7,32.0
HB6A3,Ibis budget Strasbourg Centre République,2026,8,33.0
HB6A3,Ibis budget Strasbourg Centre République,2026,9,34.0
HB6A3,Ibis budget Strasbourg Centre République,2026,10,35.0
HB6A3,Ibis budget Strasbourg Centre République,2026,11,36.0
HB6A3,Ibis budget Strasbourg Centre République,2026,12,37.0
