nom_hotel,annee,mois,categorie,sous_categorie,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,15.0,26.5,9.0,6.0,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,86.0,194.5,60.0,14.0,H2075
Ibis budget Nice,2024,12,N_F_B,ACCESSOIRES,1.0,13.0,1.0,1.0,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,14.0,28.5,10.0,4.0,H2075
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,15.0,25.0,12.0,5.0,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,111.0,258.1,78.0,15.0,H2075
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,2.0,20.0,2.0,2.0,H2075
Ibis budget Nice,2025,1,N_F_B,SOS,1.0,14.0,1.0,1.0,H2075
Ibis budget Nice,2025,2,F_B,FOOD SALEE,10.0,20.0,6.0,3.0,H2075
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,9.0,17.5,8.0,4.0,H2075
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,89.0,214.8,65.0,15.0,H2075
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2025,2,N_F_B,PAP,1.0,6.0,1.0,1.0,H2075
Ibis budget Nice,2025,3,F_B,FOOD SALEE,9.0,19.5,7.0,4.0,H2075
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,23.0,41.0,18.0,5.0,H2075
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,211.0,518.1,170.0,18.0,H2075
Ibis budget Nice,2025,3,N_F_B,#REF!,0.0,22.0,2.0,0.0,H2075
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,2.0,25.0,2.0,2.0,H2075
Ibis budget Nice,2025,4,F_B,FOOD SALEE,20.0,55.5,15.0,7.0,H2075
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,18.0,39.6,16.0,5.0,H2075
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,209.0,498.1,158.0,17.0,H2075
Ibis budget Nice,2025,4,N_F_B,#REF!,1.0,12.0,1.0,1.0,H2075
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,12.0,144.1,9.0,11.0,H2075
Ibis budget Nice,2025,4,N_F_B,COSMETIQUE,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2025,4,N_F_B,PAP,4.0,44.0,3.0,4.0,H2075
Ibis budget Nice,2025,4,N_F_B,SOS,1.0,14.0,1.0,1.0,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,21.0,70.5,14.0,6.0,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,350.0,819.7,224.0,18.0,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,13.0,167.0,13.0,6.0,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,20.0,207.0,17.0,12.0,H2075
Ibis budget Nice,2025,5,N_F_B,JEUX / ENFANTS,1.0,18.0,1.0,1.0,H2075
Ibis budget Nice,2025,5,N_F_B,PAP,5.0,50.0,5.0,4.0,H2075
Ibis budget Nice,2025,5,N_F_B,SOS,1.0,14.0,1.0,1.0,H2075
Ibis budget Nice,2025,6,F_B,FOOD SALEE,25.0,67.5,19.0,6.0,H2075
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,382.0,894.2,242.0,18.0,H2075
Ibis budget Nice,2025,6,N_F_B,#REF!,23.0,295.0,19.0,8.0,H2075
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,31.0,220.0,27.0,12.0,H2075
Ibis budget Nice,2025,6,N_F_B,JEUX / ENFANTS,2.0,36.0,2.0,1.0,H2075
Ibis budget Nice,2025,6,N_F_B,PAP,9.0,113.0,11.0,5.0,H2075
Ibis budget Nice,2025,6,N_F_B,SOS,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,42.0,121.0,34.0,9.0,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,343.0,818.6,236.0,18.0,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,33.0,425.0,26.0,13.0,H2075
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,22.0,202.0,21.0,9.0,H2075
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,2.0,36.0,2.0,1.0,H2075
Ibis budget Nice,2025,7,N_F_B,PAP,9.0,88.0,9.0,4.0,H2075
Ibis budget Nice,2025,8,F_B,FOOD SALEE,26.0,83.0,20.0,8.0,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,369.0,868.8000000000001,231.0,18.0,H2075
Ibis budget Nice,2025,8,N_F_B,#REF!,30.0,360.0,29.0,15.0,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,53.0,453.0,36.0,14.0,H2075
Ibis budget Nice,2025,8,N_F_B,JEUX / ENFANTS,2.0,36.0,2.0,1.0,H2075
Ibis budget Nice,2025,9,F_B,FOOD SALEE,35.0,94.5,29.0,8.0,H2075
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,314.0,733.1,211.0,18.0,H2075
Ibis budget Nice,2025,9,N_F_B,#REF!,32.0,424.0,31.0,12.0,H2075
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,32.0,232.0,30.0,14.0,H2075
Ibis budget Nice,2025,9,N_F_B,PAP,2.0,23.0,2.0,2.0,H2075
Ibis budget Nice,2025,10,F_B,FOOD SALEE,32.0,91.5,27.0,8.0,H2075
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,253.0,603.5,168.0,18.0,H2075
Ibis budget Nice,2025,10,N_F_B,#REF!,11.0,116.0,10.0,7.0,H2075
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,20.0,155.0,16.0,12.0,H2075
Ibis budget Nice,2025,10,N_F_B,PAP,3.0,30.0,3.0,2.0,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,17.0,46.0,14.0,8.0,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,173.0,403.1,118.0,18.0,H2075
Ibis budget Nice,2025,11,NAN,,3.0,6.0,2.0,1.0,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,7.0,84.0,7.0,3.0,H2075
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,2.0,12.0,2.0,2.0,H2075
Ibis budget Nice,2025,12,F_B,FOOD SALEE,8.0,22.0,7.0,5.0,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,129.0,311.90000000000003,82.0,16.0,H2075
Ibis budget Nice,2025,12,NAN,,18.0,58.0,17.0,3.0,H2075
Ibis budget Nice,2025,12,N_F_B,#REF!,3.0,32.0,3.0,2.0,H2075
Ibis budget Nice,2025,12,N_F_B,ACCESSOIRES,3.0,24.0,3.0,3.0,H2075
Ibis budget Nice,2025,12,N_F_B,PAP,1.0,16.0,1.0,1.0,H2075
Ibis budget Nice,2025,12,N_F_B,SOS,1.0,4.0,1.0,1.0,H2075
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,15.0,142.5,13.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,39.0,138.5,26.0,6.0,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,97.0,337.5,73.0,12.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,27.0,265.0,23.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,91.0,274.0,73.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,134.0,404.5,114.0,14.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,31.0,95.0,29.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,101.0,322.5,76.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,251.0,918.0,189.0,13.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,21.0,82.5,18.0,2.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,55.0,176.0,41.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,141.0,442.0,109.0,13.0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,21.0,85.0,16.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,57.0,193.5,28.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,118.0,466.5,85.0,13.0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,22.0,166.5,19.0,5.0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,98.0,320.0,65.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,150.0,438.0,121.0,12.0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,25.0,202.5,22.0,5.0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,67.0,231.0,50.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,201.0,644.5,149.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,12.0,45.0,11.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,41.0,123.0,31.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,160.0,486.0,124.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,41.0,163.5,33.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,87.0,235.5,74.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,352.0,1310.0,251.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,47.0,270.5,30.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,96.0,309.5,63.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,267.0,895.5,192.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,41.0,205.5,34.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,80.0,222.5,61.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,425.0,1340.5,296.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SALEE,17.0,80.0,14.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SUCREE,47.0,130.5,40.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,SANS ALCOOL,143.0,428.5,124.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SALEE,32.0,125.0,25.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SUCREE,66.0,198.0,52.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,SANS ALCOOL,211.0,667.5,169.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SALEE,44.0,185.0,34.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SUCREE,93.0,287.0,64.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,SANS ALCOOL,217.0,720.5,164.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SALEE,51.0,200.0,40.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SUCREE,143.0,407.0,101.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,SANS ALCOOL,433.0,1507.5,324.0,11.0,HB6A3
Mercure Paris Montmartre Sacré-Cœur,2024,1,N_F_B,COSMETIQUE,2.0,1.0,2.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,ALCOOL,46.0,435.0,37.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SALEE,45.0,208.0,35.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SUCREE,31.0,170.0,28.0,13.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,SANS ALCOOL,243.0,1791.5,177.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,COSMETIQUE,7.0,290.0,4.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,SOS,4.0,88.0,4.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,ALCOOL,71.0,584.0,57.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SALEE,31.0,189.0,26.0,7.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SUCREE,107.0,397.0,85.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,SANS ALCOOL,423.0,2765.0,320.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,COSMETIQUE,7.0,160.0,6.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOS,12.0,418.0,9.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOUVENIRS,2.0,44.0,2.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,ALCOOL,113.0,1054.0,87.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SALEE,55.0,279.0,54.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SUCREE,86.0,366.0,59.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SANS ALCOOL,462.0,3003.0,352.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SOUVENIRS,6.0,168.0,4.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,COSMETIQUE,13.0,341.0,10.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOS,9.0,236.0,7.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOUVENIRS,5.0,224.0,4.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,ALCOOL,99.0,1039.0,68.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SALEE,68.0,431.0,60.0,10.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SUCREE,67.0,299.0,45.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,SANS ALCOOL,384.0,2760.0,273.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,COSMETIQUE,7.0,163.0,6.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOS,14.0,124.0,10.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOUVENIRS,1.0,32.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,ALCOOL,71.0,674.0,49.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,FOOD SALEE,56.0,296.0,49.0,10.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,FOOD SUCREE,107.0,391.0,80.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,SANS ALCOOL,563.0,4324.0,394.0,10.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,SOUVENIRS,3.0,45.0,3.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,COSMETIQUE,5.0,157.0,3.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,SOS,1.0,8.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,SOUVENIRS,1.0,42.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,ALCOOL,96.0,1221.0,63.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,FOOD SALEE,58.0,340.0,49.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,FOOD SUCREE,128.0,451.0,91.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SANS ALCOOL,363.0,4635.0,229.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SOUVENIRS,1.0,15.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,COSMETIQUE,4.0,108.0,2.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,SOS,3.0,34.0,3.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,SOUVENIRS,1.0,22.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,ALCOOL,98.0,1321.0,67.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SALEE,53.0,293.0,46.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SUCREE,122.0,568.0,72.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,SANS ALCOOL,342.0,3000.0,213.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,N_F_B,SOS,5.0,61.0,4.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,N_F_B,SOUVENIRS,1.0,42.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,ALCOOL,185.0,2750.0,135.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,FOOD SALEE,96.0,564.0,83.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,FOOD SUCREE,107.0,494.0,75.0,7.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,SANS ALCOOL,512.0,4130.0,333.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,N_F_B,SOS,2.0,12.0,2.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,N_F_B,SOUVENIRS,1.0,42.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,ALCOOL,182.0,2857.0,123.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,FOOD SALEE,116.0,742.0,96.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,FOOD SUCREE,98.0,499.0,69.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,SANS ALCOOL,650.0,5110.0,400.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,N_F_B,SOS,7.0,91.0,5.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,N_F_B,SOUVENIRS,5.0,219.0,2.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,ALCOOL,96.0,1458.0,66.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,FOOD SALEE,77.0,539.0,57.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,FOOD SUCREE,94.0,386.0,65.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,SANS ALCOOL,437.0,3275.0,277.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,SOUVENIRS,1.0,15.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,N_F_B,COSMETIQUE,2.0,25.0,2.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,N_F_B,SOS,1.0,8.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,ALCOOL,113.0,2039.0,76.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,FOOD SALEE,58.0,338.0,47.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,FOOD SUCREE,98.0,432.0,60.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,SANS ALCOOL,344.0,2620.0,240.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,N_F_B,COSMETIQUE,5.0,80.0,4.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,ALCOOL,81.0,1514.0,63.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,FOOD SALEE,54.0,274.0,46.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,FOOD SUCREE,131.0,621.0,71.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,SANS ALCOOL,320.0,2630.0,220.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,SOUVENIRS,2.0,29.0,2.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,N_F_B,COSMETIQUE,6.0,72.0,6.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,N_F_B,SOS,3.0,38.0,3.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,F_B,ALCOOL,75.0,1803.0,50.0,4.0,H0373
