nom_hotel,annee,mois,categorie,sous_categorie,is_holiday,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,11,F_B,FOOD SALEE,0,6.0,13.0,5.0,4.0,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,0,12.0,18.5,12.0,5.0,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,1,1.0,2.0,1.0,1.0,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,0,72.0,171.4,55.0,15.0,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,1,7.0,18.3,4.0,6.0,H2075
Ibis budget Nice,2024,11,N_F_B,ACCESSOIRES,0,2.0,12.0,2.0,2.0,H2075
Ibis budget Nice,2024,11,N_F_B,PAP,0,1.0,6.0,1.0,1.0,H2075
Ibis budget Nice,2024,12,F_B,FOOD SALEE,0,5.0,10.5,4.0,3.0,H2075
Ibis budget Nice,2024,12,F_B,FOOD SALEE,1,2.0,4.5,2.0,2.0,H2075
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,0,14.0,25.0,8.0,6.0,H2075
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,1,1.0,1.5,1.0,1.0,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,0,83.0,188.10000000000002,58.0,14.0,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,1,3.0,6.4,2.0,2.0,H2075
Ibis budget Nice,2024,12,N_F_B,ACCESSOIRES,0,1.0,13.0,1.0,1.0,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,0,12.0,24.0,8.0,3.0,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,1,2.0,4.5,2.0,2.0,H2075
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,0,15.0,25.0,12.0,5.0,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,0,97.0,225.3,69.0,14.0,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,1,14.0,32.8,9.0,11.0,H2075
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,0,2.0,20.0,2.0,2.0,H2075
Ibis budget Nice,2025,1,N_F_B,SOS,0,1.0,14.0,1.0,1.0,H2075
Ibis budget Nice,2025,2,F_B,FOOD SALEE,0,10.0,20.0,6.0,3.0,H2075
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,0,9.0,17.5,8.0,4.0,H2075
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,0,89.0,214.8,65.0,15.0,H2075
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,0,1.0,10.0,1.0,1.0,H2075
Ibis budget Nice,2025,2,N_F_B,PAP,0,1.0,6.0,1.0,1.0,H2075
Ibis budget Nice,2025,3,F_B,FOOD SALEE,0,9.0,19.5,7.0,4.0,H2075
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,0,23.0,41.0,18.0,5.0,H2075
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,0,211.0,518.1,170.0,18.0,H2075
Ibis budget Nice,2025,3,N_F_B,#REF!,0,0.0,22.0,2.0,0.0,H2075
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,0,2.0,25.0,2.0,2.0,H2075
Ibis budget Nice,2025,4,F_B,FOOD SALEE,0,20.0,55.5,15.0,7.0,H2075
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,0,18.0,39.6,16.0,5.0,H2075
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,0,209.0,498.1,158.0,17.0,H2075
Ibis budget Nice,2025,4,N_F_B,#REF!,0,1.0,12.0,1.0,1.0,H2075
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,0,12.0,144.1,9.0,11.0,H2075
Ibis budget Nice,2025,4,N_F_B,COSMETIQUE,0,1.0,9.0,1.0,1.0,H2075
Ibis budget Nice,2025,4,N_F_B,PAP,0,4.0,44.0,3.0,4.0,H2075
Ibis budget Nice,2025,4,N_F_B,SOS,0,1.0,14.0,1.0,1.0,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,0,20.0,68.5,13.0,6.0,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,1,1.0,2.0,1.0,1.0,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,0,322.0,755.5,205.0,17.0,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,1,28.0,64.2,19.0,8.0,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,0,11.0,132.0,11.0,5.0,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,1,2.0,35.0,2.0,2.0,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,0,17.0,172.0,15.0,10.0,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,1,3.0,35.0,2.0,3.0,H2075
Ibis budget Nice,2025,5,N_F_B,JEUX / ENFANTS,0,1.0,18.0,1.0,1.0,H2075
Ibis budget Nice,2025,5,N_F_B,PAP,0,5.0,50.0,5.0,4.0,H2075
Ibis budget Nice,2025,5,N_F_B,SOS,0,1.0,14.0,1.0,1.0,H2075
Ibis budget Nice,2025,6,F_B,FOOD SALEE,0,25.0,67.5,19.0,6.0,H2075
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,0,382.0,894.2,242.0,18.0,H2075
Ibis budget Nice,2025,6,N_F_B,#REF!,0,23.0,295.0,19.0,8.0,H2075
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,0,31.0,220.0,27.0,12.0,H2075
Ibis budget Nice,2025,6,N_F_B,JEUX / ENFANTS,0,2.0,36.0,2.0,1.0,H2075
Ibis budget Nice,2025,6,N_F_B,PAP,0,9.0,113.0,11.0,5.0,H2075
Ibis budget Nice,2025,6,N_F_B,SOS,0,1.0,8.0,1.0,1.0,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,0,40.0,116.5,33.0,9.0,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,1,2.0,4.5,1.0,2.0,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,0,327.0,779.5,227.0,18.0,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,1,16.0,39.1,9.0,9.0,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,0,32.0,410.0,25.0,13.0,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,1,1.0,15.0,1.0,1.0,H2075
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,0,22.0,202.0,21.0,9.0,H2075
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,0,2.0,36.0,2.0,1.0,H2075
Ibis budget Nice,2025,7,N_F_B,PAP,0,9.0,88.0,9.0,4.0,H2075
Ibis budget Nice,2025,8,F_B,FOOD SALEE,0,26.0,83.0,20.0,8.0,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,0,358.0,842.3000000000001,223.0,18.0,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,1,11.0,26.5,8.0,6.0,H2075
Ibis budget Nice,2025,8,N_F_B,#REF!,0,30.0,360.0,29.0,15.0,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,0,49.0,429.0,33.0,14.0,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,1,4.0,24.0,3.0,3.0,H2075
Ibis budget Nice,2025,8,N_F_B,JEUX / ENFANTS,0,2.0,36.0,2.0,1.0,H2075
Ibis budget Nice,2025,9,F_B,FOOD SALEE,0,35.0,94.5,29.0,8.0,H2075
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,0,314.0,733.1,211.0,18.0,H2075
Ibis budget Nice,2025,9,N_F_B,#REF!,0,32.0,424.0,31.0,12.0,H2075
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,0,32.0,232.0,30.0,14.0,H2075
Ibis budget Nice,2025,9,N_F_B,PAP,0,2.0,23.0,2.0,2.0,H2075
Ibis budget Nice,2025,10,F_B,FOOD SALEE,0,32.0,91.5,27.0,8.0,H2075
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,0,253.0,603.5,168.0,18.0,H2075
Ibis budget Nice,2025,10,N_F_B,#REF!,0,11.0,116.0,10.0,7.0,H2075
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,0,20.0,155.0,16.0,12.0,H2075
Ibis budget Nice,2025,10,N_F_B,PAP,0,3.0,30.0,3.0,2.0,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,0,16.0,42.0,13.0,8.0,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,1,1.0,4.0,1.0,1.0,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,0,168.0,392.1,113.0,18.0,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,1,5.0,11.0,5.0,1.0,H2075
Ibis budget Nice,2025,11,NAN,nan,0,3.0,6.0,2.0,1.0,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,0,6.0,72.0,6.0,2.0,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,1,1.0,12.0,1.0,1.0,H2075
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,0,2.0,12.0,2.0,2.0,H2075
Ibis budget Nice,2025,12,F_B,FOOD SALEE,0,8.0,22.0,7.0,5.0,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,0,127.0,307.20000000000005,81.0,16.0,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,1,2.0,4.7,1.0,2.0,H2075
Ibis budget Nice,2025,12,NAN,nan,0,18.0,58.0,17.0,3.0,H2075
Ibis budget Nice,2025,12,N_F_B,#REF!,0,3.0,32.0,3.0,2.0,H2075
Ibis budget Nice,2025,12,N_F_B,ACCESSOIRES,0,3.0,24.0,3.0,3.0,H2075
Ibis budget Nice,2025,12,N_F_B,PAP,0,1.0,16.0,1.0,1.0,H2075
Ibis budget Nice,2025,12,N_F_B,SOS,0,1.0,4.0,1.0,1.0,H2075
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,0,15.0,142.5,13.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,0,39.0,138.5,26.0,6.0,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,0,97.0,337.5,73.0,12.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,0,26.0,250.0,22.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,1,1.0,15.0,1.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,0,87.0,261.0,69.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,1,4.0,13.0,4.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,0,120.0,362.5,103.0,14.0,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,1,14.0,42.0,11.0,7.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,0,30.0,92.5,28.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,1,1.0,2.5,1.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,0,95.0,302.5,73.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,1,6.0,20.0,3.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,0,238.0,855.0,179.0,13.0,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,1,13.0,63.0,10.0,7.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,0,18.0,75.0,15.0,2.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,1,3.0,7.5,3.0,2.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,0,50.0,163.0,36.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,1,5.0,13.0,5.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,0,124.0,394.5,94.0,13.0,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,1,17.0,47.5,15.0,6.0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,0,21.0,85.0,16.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,0,57.0,193.5,28.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,0,118.0,466.5,85.0,13.0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,0,22.0,166.5,19.0,5.0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,0,98.0,320.0,65.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,0,150.0,438.0,121.0,12.0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,0,25.0,202.5,22.0,5.0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,0,67.0,231.0,50.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,0,201.0,644.5,149.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,0,11.0,42.5,10.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,1,1.0,2.5,1.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,0,37.0,112.5,27.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,1,4.0,10.5,4.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,0,133.0,382.5,105.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,1,27.0,103.5,19.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,0,41.0,163.5,33.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,0,87.0,235.5,74.0,10.0,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,0,352.0,1310.0,251.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,0,45.0,260.5,29.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,1,2.0,10.0,1.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,0,94.0,304.0,61.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,1,2.0,5.5,2.0,2.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,0,251.0,834.5,183.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,1,16.0,61.0,9.0,6.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,0,39.0,195.5,32.0,4.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,1,2.0,10.0,2.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,0,77.0,214.5,58.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,1,3.0,8.0,3.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,0,395.0,1250.5,275.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,1,30.0,90.0,21.0,6.0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SALEE,0,17.0,80.0,14.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SUCREE,0,47.0,130.5,40.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,SANS ALCOOL,0,143.0,428.5,124.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SALEE,0,32.0,125.0,25.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SUCREE,0,66.0,198.0,52.0,9.0,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,SANS ALCOOL,0,211.0,667.5,169.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SALEE,0,43.0,180.0,33.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SALEE,1,1.0,5.0,1.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SUCREE,0,89.0,271.5,63.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SUCREE,1,4.0,15.5,1.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,SANS ALCOOL,0,210.0,693.0,160.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,SANS ALCOOL,1,7.0,27.5,4.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SALEE,0,47.0,175.0,38.0,3.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SALEE,1,4.0,25.0,2.0,1.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SUCREE,0,143.0,407.0,101.0,8.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,SANS ALCOOL,0,423.0,1472.5,317.0,11.0,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,SANS ALCOOL,1,10.0,35.0,7.0,5.0,HB6A3
Mercure Paris Montmartre Sacré-Cœur,2024,1,N_F_B,COSMETIQUE,0,2.0,1.0,2.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,ALCOOL,0,46.0,435.0,37.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SALEE,0,45.0,208.0,35.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SUCREE,0,31.0,170.0,28.0,13.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,SANS ALCOOL,0,243.0,1791.5,177.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,COSMETIQUE,0,7.0,290.0,4.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,SOS,0,4.0,88.0,4.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,ALCOOL,0,71.0,584.0,57.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SALEE,0,31.0,189.0,26.0,7.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SUCREE,0,107.0,397.0,85.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,SANS ALCOOL,0,423.0,2765.0,320.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,COSMETIQUE,0,7.0,160.0,6.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOS,0,12.0,418.0,9.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOUVENIRS,0,2.0,44.0,2.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,ALCOOL,0,113.0,1054.0,87.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SALEE,0,55.0,279.0,54.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SUCREE,0,86.0,366.0,59.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SANS ALCOOL,0,462.0,3003.0,352.0,11.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SOUVENIRS,0,6.0,168.0,4.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,COSMETIQUE,0,13.0,341.0,10.0,8.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOS,0,9.0,236.0,7.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOUVENIRS,0,5.0,224.0,4.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,ALCOOL,0,90.0,941.0,62.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,ALCOOL,1,9.0,98.0,6.0,4.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SALEE,0,64.0,410.0,56.0,10.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SALEE,1,4.0,21.0,4.0,3.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SUCREE,0,63.0,285.0,42.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SUCREE,1,4.0,14.0,3.0,2.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,SANS ALCOOL,0,365.0,2555.0,260.0,9.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,SANS ALCOOL,1,19.0,205.0,13.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,COSMETIQUE,0,7.0,163.0,6.0,5.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOS,0,13.0,123.0,9.0,6.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOS,1,1.0,1.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOUVENIRS,0,1.0,32.0,1.0,1.0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,ALCOOL,0,71.0,674.0,49.0,4.0,H0373
