nom_hotel,annee,mois,categorie,sous_categorie,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,7,F_B,SANS ALCOOL,281,662.6,174,16,H2075
Ibis budget Nice,2024,7,N_F_B,ACCESSOIRES,21,188.5,20,12,H2075
Ibis budget Nice,2024,7,N_F_B,COSMETIQUE,2,20.0,2,1,H2075
Ibis budget Nice,2024,7,N_F_B,JEUX / ENFANTS,3,54.0,3,1,H2075
Ibis budget Nice,2024,7,N_F_B,PAP,6,60.0,5,2,H2075
Ibis budget Nice,2024,7,N_F_B,SOS,1,8.0,1,1,H2075
Ibis budget Nice,2024,8,F_B,FOOD SALEE,17,47.0,12,4,H2075
Ibis budget Nice,2024,8,F_B,SANS ALCOOL,322,764.0,207,16,H2075
Ibis budget Nice,2024,8,N_F_B,ACCESSOIRES,23,259.0,18,11,H2075
Ibis budget Nice,2024,8,N_F_B,COSMETIQUE,3,29.0,3,2,H2075
Ibis budget Nice,2024,8,N_F_B,JEUX / ENFANTS,3,54.0,3,1,H2075
Ibis budget Nice,2024,8,N_F_B,PAP,2,20.0,2,2,H2075
Ibis budget Nice,2024,9,F_B,FOOD SALEE,17,36.5,15,4,H2075
Ibis budget Nice,2024,9,F_B,FOOD SUCREE,25,47.5,21,6,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,194,457.20000000000005,130,15,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,14,151.0,12,8,H2075
Ibis budget Nice,2024,9,N_F_B,COSMETIQUE,1,10.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,PAP,7,69.0,7,5,H2075
Ibis budget Nice,2024,10,F_B,FOOD SALEE,14,30.5,13,3,H2075
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,20,40.0,14,7,H2075
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,147,336.8,103,16,H2075
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,11,98.0,8,9,H2075
Ibis budget Nice,2024,10,N_F_B,PAP,4,35.0,4,3,H2075
Ibis budget Nice,2024,10,N_F_B,SOS,4,56.0,3,1,H2075
Ibis budget Nice,2024,11,F_B,FOOD SALEE,6,13.0,5,4,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,13,20.5,13,5,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,79,189.70000000000002,59,15,H2075
Ibis budget Nice,2024,11,N_F_B,ACCESSOIRES,2,12.0,2,2,H2075
Ibis budget Nice,2024,11,N_F_B,PAP,1,6.0,1,1,H2075
Ibis budget Nice,2024,12,F_B,FOOD SALEE,7,15.0,6,3,H2075
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,15,26.5,9,6,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,86,194.5,60,14,H2075
Ibis budget Nice,2024,12,N_F_B,ACCESSOIRES,1,13.0,1,1,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,14,28.5,10,4,H2075
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,15,25.0,12,5,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,111,258.1,78,15,H2075
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,2,20.0,2,2,H2075
Ibis budget Nice,2025,1,N_F_B,SOS,1,14.0,1,1,H2075
Ibis budget Nice,2025,2,F_B,FOOD SALEE,10,20.0,6,3,H2075
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,9,17.5,8,4,H2075
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,89,214.8,65,15,H2075
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,1,10.0,1,1,H2075
Ibis budget Nice,2025,2,N_F_B,PAP,1,6.0,1,1,H2075
Ibis budget Nice,2025,3,F_B,FOOD SALEE,9,19.5,7,4,H2075
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,23,41.0,18,5,H2075
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,211,518.1,170,18,H2075
Ibis budget Nice,2025,3,N_F_B,#REF!,0,22.0,2,0,H2075
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,2,25.0,2,2,H2075
Ibis budget Nice,2025,4,F_B,FOOD SALEE,20,55.5,15,7,H2075
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,18,39.6,16,5,H2075
Ibis budget Nice,2025,4,F_B,SANS ALCOOL,209,498.1,158,17,H2075
Ibis budget Nice,2025,4,N_F_B,#REF!,1,12.0,1,1,H2075
Ibis budget Nice,2025,4,N_F_B,ACCESSOIRES,12,144.1,9,11,H2075
Ibis budget Nice,2025,4,N_F_B,COSMETIQUE,1,9.0,1,1,H2075
Ibis budget Nice,2025,4,N_F_B,PAP,4,44.0,3,4,H2075
Ibis budget Nice,2025,4,N_F_B,SOS,1,14.0,1,1,H2075
Ibis budget Nice,2025,5,F_B,FOOD SALEE,21,70.5,14,6,H2075
Ibis budget Nice,2025,5,F_B,SANS ALCOOL,350,819.7,224,18,H2075
Ibis budget Nice,2025,5,N_F_B,#REF!,13,167.0,13,6,H2075
Ibis budget Nice,2025,5,N_F_B,ACCESSOIRES,20,207.0,17,12,H2075
Ibis budget Nice,2025,5,N_F_B,JEUX / ENFANTS,1,18.0,1,1,H2075
Ibis budget Nice,2025,5,N_F_B,PAP,5,50.0,5,4,H2075
Ibis budget Nice,2025,5,N_F_B,SOS,1,14.0,1,1,H2075
Ibis budget Nice,2025,6,F_B,FOOD SALEE,25,67.5,19,6,H2075
Ibis budget Nice,2025,6,F_B,SANS ALCOOL,382,894.2,242,18,H2075
Ibis budget Nice,2025,6,N_F_B,#REF!,23,295.0,19,8,H2075
Ibis budget Nice,2025,6,N_F_B,ACCESSOIRES,31,220.0,27,12,H2075
Ibis budget Nice,2025,6,N_F_B,JEUX / ENFANTS,2,36.0,2,1,H2075
Ibis budget Nice,2025,6,N_F_B,PAP,9,113.0,11,5,H2075
Ibis budget Nice,2025,6,N_F_B,SOS,1,8.0,1,1,H2075
Ibis budget Nice,2025,7,F_B,FOOD SALEE,42,121.0,34,9,H2075
Ibis budget Nice,2025,7,F_B,SANS ALCOOL,343,818.6,236,18,H2075
Ibis budget Nice,2025,7,N_F_B,#REF!,33,425.0,26,13,H2075
Ibis budget Nice,2025,7,N_F_B,ACCESSOIRES,22,202.0,21,9,H2075
Ibis budget Nice,2025,7,N_F_B,JEUX / ENFANTS,2,36.0,2,1,H2075
Ibis budget Nice,2025,7,N_F_B,PAP,9,88.0,9,4,H2075
Ibis budget Nice,2025,8,F_B,FOOD SALEE,26,83.0,20,8,H2075
Ibis budget Nice,2025,8,F_B,SANS ALCOOL,369,868.8000000000001,231,18,H2075
Ibis budget Nice,2025,8,N_F_B,#REF!,30,360.0,29,15,H2075
Ibis budget Nice,2025,8,N_F_B,ACCESSOIRES,53,453.0,36,14,H2075
Ibis budget Nice,2025,8,N_F_B,JEUX / ENFANTS,2,36.0,2,1,H2075
Ibis budget Nice,2025,9,F_B,FOOD SALEE,35,94.5,29,8,H2075
Ibis budget Nice,2025,9,F_B,SANS ALCOOL,314,733.1,211,18,H2075
Ibis budget Nice,2025,9,N_F_B,#REF!,32,424.0,31,12,H2075
Ibis budget Nice,2025,9,N_F_B,ACCESSOIRES,32,232.0,30,14,H2075
Ibis budget Nice,2025,9,N_F_B,PAP,2,23.0,2,2,H2075
Ibis budget Nice,2025,10,F_B,FOOD SALEE,32,91.5,27,8,H2075
Ibis budget Nice,2025,10,F_B,SANS ALCOOL,253,603.5,168,18,H2075
Ibis budget Nice,2025,10,N_F_B,#REF!,11,116.0,10,7,H2075
Ibis budget Nice,2025,10,N_F_B,ACCESSOIRES,20,155.0,16,12,H2075
Ibis budget Nice,2025,10,N_F_B,PAP,3,30.0,3,2,H2075
Ibis budget Nice,2025,11,F_B,FOOD SALEE,17,46.0,14,8,H2075
Ibis budget Nice,2025,11,F_B,SANS ALCOOL,173,403.1,118,18,H2075
Ibis budget Nice,2025,11,NAN,nan,3,6.0,2,1,H2075
Ibis budget Nice,2025,11,N_F_B,#REF!,7,84.0,7,3,H2075
Ibis budget Nice,2025,11,N_F_B,ACCESSOIRES,2,12.0,2,2,H2075
Ibis budget Nice,2025,12,F_B,FOOD SALEE,8,22.0,7,5,H2075
Ibis budget Nice,2025,12,F_B,SANS ALCOOL,129,311.90000000000003,82,16,H2075
Ibis budget Nice,2025,12,NAN,nan,18,58.0,17,3,H2075
Ibis budget Nice,2025,12,N_F_B,#REF!,3,32.0,3,2,H2075
Ibis budget Nice,2025,12,N_F_B,ACCESSOIRES,3,24.0,3,3,H2075
Ibis budget Nice,2025,12,N_F_B,PAP,1,16.0,1,1,H2075
Ibis budget Nice,2025,12,N_F_B,SOS,1,4.0,1,1,H2075
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SALEE,15,142.5,13,4,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,FOOD SUCREE,39,138.5,26,6,HB6A3
Ibis budget Strasbourg Centre République,2024,10,F_B,SANS ALCOOL,97,337.5,73,12,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SALEE,27,265.0,23,4,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,FOOD SUCREE,91,274.0,73,11,HB6A3
Ibis budget Strasbourg Centre République,2024,11,F_B,SANS ALCOOL,134,404.5,114,14,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SALEE,31,95.0,29,4,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,FOOD SUCREE,101,322.5,76,10,HB6A3
Ibis budget Strasbourg Centre République,2024,12,F_B,SANS ALCOOL,251,918.0,189,13,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SALEE,21,82.5,18,2,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,FOOD SUCREE,55,176.0,41,8,HB6A3
Ibis budget Strasbourg Centre République,2025,1,F_B,SANS ALCOOL,141,442.0,109,13,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SALEE,21,85.0,16,3,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,FOOD SUCREE,57,193.5,28,8,HB6A3
Ibis budget Strasbourg Centre République,2025,2,F_B,SANS ALCOOL,118,466.5,85,13,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SALEE,22,166.5,19,5,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,FOOD SUCREE,98,320.0,65,10,HB6A3
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,150,438.0,121,12,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,25,202.5,22,5,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,67,231.0,50,9,HB6A3
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,201,644.5,149,11,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,12,45.0,11,4,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,41,123.0,31,9,HB6A3
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,160,486.0,124,10,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,41,163.5,33,4,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,87,235.5,74,10,HB6A3
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,352,1310.0,251,11,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,47,270.5,30,4,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SUCREE,96,309.5,63,8,HB6A3
Ibis budget Strasbourg Centre République,2025,7,F_B,SANS ALCOOL,267,895.5,192,11,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SALEE,41,205.5,34,4,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,FOOD SUCREE,80,222.5,61,8,HB6A3
Ibis budget Strasbourg Centre République,2025,8,F_B,SANS ALCOOL,425,1340.5,296,11,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SALEE,17,80.0,14,3,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,FOOD SUCREE,47,130.5,40,8,HB6A3
Ibis budget Strasbourg Centre République,2025,9,F_B,SANS ALCOOL,143,428.5,124,11,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SALEE,32,125.0,25,3,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,FOOD SUCREE,66,198.0,52,9,HB6A3
Ibis budget Strasbourg Centre République,2025,10,F_B,SANS ALCOOL,211,667.5,169,11,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SALEE,44,185.0,34,3,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,FOOD SUCREE,93,287.0,64,8,HB6A3
Ibis budget Strasbourg Centre République,2025,11,F_B,SANS ALCOOL,217,720.5,164,11,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SALEE,51,200.0,40,3,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,FOOD SUCREE,143,407.0,101,8,HB6A3
Ibis budget Strasbourg Centre République,2025,12,F_B,SANS ALCOOL,433,1507.5,324,11,HB6A3
Mercure Paris Montmartre Sacré-Cœur,2024,1,N_F_B,COSMETIQUE,2,1.0,2,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,ALCOOL,46,435.0,37,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SALEE,45,208.0,35,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,FOOD SUCREE,31,170.0,28,13,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,F_B,SANS ALCOOL,243,1791.5,177,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,COSMETIQUE,7,290.0,4,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,2,N_F_B,SOS,4,88.0,4,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,ALCOOL,71,584.0,57,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SALEE,31,189.0,26,7,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,FOOD SUCREE,107,397.0,85,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,F_B,SANS ALCOOL,423,2765.0,320,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,COSMETIQUE,7,160.0,6,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOS,12,418.0,9,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,3,N_F_B,SOUVENIRS,2,44.0,2,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,ALCOOL,113,1054.0,87,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SALEE,55,279.0,54,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,FOOD SUCREE,86,366.0,59,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SANS ALCOOL,462,3003.0,352,11,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,F_B,SOUVENIRS,6,168.0,4,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,COSMETIQUE,13,341.0,10,8,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOS,9,236.0,7,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,4,N_F_B,SOUVENIRS,5,224.0,4,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,ALCOOL,99,1039.0,68,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SALEE,68,431.0,60,10,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SUCREE,67,299.0,45,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,SANS ALCOOL,384,2760.0,273,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,COSMETIQUE,7,163.0,6,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOS,14,124.0,10,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOUVENIRS,1,32.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,ALCOOL,71,674.0,49,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,FOOD SALEE,56,296.0,49,10,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,FOOD SUCREE,107,391.0,80,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,SANS ALCOOL,563,4324.0,394,10,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,SOUVENIRS,3,45.0,3,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,COSMETIQUE,5,157.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,SOS,1,8.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,SOUVENIRS,1,42.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,ALCOOL,96,1221.0,63,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,FOOD SALEE,58,340.0,49,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,FOOD SUCREE,128,451.0,91,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SANS ALCOOL,363,4635.0,229,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SOUVENIRS,1,15.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,COSMETIQUE,4,108.0,2,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,SOS,3,34.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,SOUVENIRS,1,22.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,ALCOOL,98,1321.0,67,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SALEE,53,293.0,46,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SUCREE,122,568.0,72,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,SANS ALCOOL,342,3000.0,213,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,N_F_B,SOS,5,61.0,4,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,N_F_B,SOUVENIRS,1,42.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,ALCOOL,185,2750.0,135,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,FOOD SALEE,96,564.0,83,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,FOOD SUCREE,107,494.0,75,7,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,F_B,SANS ALCOOL,512,4130.0,333,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,N_F_B,SOS,2,12.0,2,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,N_F_B,SOUVENIRS,1,42.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,ALCOOL,182,2857.0,123,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,FOOD SALEE,116,742.0,96,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,FOOD SUCREE,98,499.0,69,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,F_B,SANS ALCOOL,650,5110.0,400,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,N_F_B,SOS,7,91.0,5,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,N_F_B,SOUVENIRS,5,219.0,2,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,ALCOOL,96,1458.0,66,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,FOOD SALEE,77,539.0,57,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,FOOD SUCREE,94,386.0,65,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,SANS ALCOOL,437,3275.0,277,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,F_B,SOUVENIRS,1,15.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,N_F_B,COSMETIQUE,2,25.0,2,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,N_F_B,SOS,1,8.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,ALCOOL,113,2039.0,76,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,FOOD SALEE,58,338.0,47,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,FOOD SUCREE,98,432.0,60,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,F_B,SANS ALCOOL,344,2620.0,240,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,N_F_B,COSMETIQUE,5,80.0,4,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,ALCOOL,81,1514.0,63,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,FOOD SALEE,54,274.0,46,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,FOOD SUCREE,131,621.0,71,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,SANS ALCOOL,320,2630.0,220,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,F_B,SOUVENIRS,2,29.0,2,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,N_F_B,COSMETIQUE,6,72.0,6,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,N_F_B,SOS,3,38.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,F_B,ALCOOL,75,1803.0,50,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,F_B,FOOD SALEE,67,347.0,52,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,F_B,FOOD SUCREE,83,271.0,65,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,F_B,SANS ALCOOL,272,1790.0,213,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,F_B,SOUVENIRS,2,29.0,2,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,N_F_B,COSMETIQUE,5,60.0,5,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,N_F_B,SOS,4,53.0,4,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,N_F_B,SOUVENIRS,5,378.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,F_B,ALCOOL,88,1601.0,67,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,F_B,FOOD SALEE,64,338.0,52,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,F_B,FOOD SUCREE,99,367.0,69,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,F_B,SANS ALCOOL,309,2255.0,224,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,F_B,SOUVENIRS,1,14.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,N_F_B,COSMETIQUE,5,78.0,5,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,N_F_B,SOS,3,16.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,4,F_B,ALCOOL,108,1841.0,73,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,4,F_B,FOOD SALEE,39,169.0,38,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,4,F_B,FOOD SUCREE,100,397.0,68,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,4,F_B,SANS ALCOOL,256,1980.0,184,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,4,N_F_B,COSMETIQUE,5,63.0,5,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,5,F_B,ALCOOL,55,1016.0,43,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,5,F_B,FOOD SALEE,27,117.0,25,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,5,F_B,FOOD SUCREE,81,238.0,62,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,5,F_B,SANS ALCOOL,186,1680.0,125,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,5,N_F_B,COSMETIQUE,3,36.0,3,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,6,F_B,ALCOOL,37,741.0,30,7,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,6,F_B,FOOD SALEE,40,190.0,34,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,6,F_B,FOOD SUCREE,116,395.0,92,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,6,F_B,SANS ALCOOL,262,1920.0,196,9,H0373
